Compound,ar_mean,ar_stdv,rr_mean,rr_stdv
Sacubitril_AS,34.8,5.1,104.7,10.4
Sacubitril_BF,32.7,5.1,104.5,11.4
Sertraline_AS,7.7,3.4,26.4,87.3
Sertraline_BF,0.1,1.3,18.4,30.7
Sulfasalazine_AS,25.3,4.4,95.8,12.6
Sulfasalazine_BF,21.4,2.6,80.5,14.1
Tolperison_AS,38.1,1.5,121.6,6.6
Tolperison_BF,14.2,3.3,125.3,16.2
Torasemid_AS,47.1,7.2,108,2.5
Torasemid_BF,32.9,11.5,103,6.6
Tramadol_AS,34.6,6.9,140.9,15.2
Tramadol_BF,35.4,6.7,112,11
Trazodone_AS,43.3,7.4,133.7,20
Trazodone_BF,33,6.2,123.9,17.5
Trimipramin_AS,18.1,4.4,123,20.6
Trimipramin_BF,1.2,0.4,85.6,19.5
Valaciclovir_AS,5,1.4,81.4,21.5
Valaciclovir_BF,-0.8,7.5,92.7,12.5
Venlafaxin_AS,38.3,5.8,120.6,14.5
Venlafaxin_BF,39.1,6.1,123.8,10.9
